unique_id,BuildNET ID,association_badges,State,Photo,District,Category,Sub Category,Name,Website,phone_number,Address,Location,Area,Pin Code,Rating Count,Review,Map Link,TAGS,PRODUCTS ,Email Id,PlusCode,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder
,,,,,,,"Real estate builders & construction company in Pattimattom, Kerala",GreenToday Architects and Engineers Construction Company and Interior Designs in Kochi Kerala,https://greentodayarchitects.com/,9074572030,"Breeze, PO, Pattimattom, Kerala 683562",,,,1 review,5.0,,,,,,10.0272356,76.44796099999999,,,,,
,,,,,,,Architect in Kerala,two chair architects,,,"42/256, 42/256, Vennala High School Rd, Chembumukku, Vennala, Kochi, Ernakulam, Kerala 682028",,,,3 reviews,5.0,,,,,,10.0045074,76.321552,,,,,
,,,,,,,Architect in Kerala,T + ATELIER ARCHITECTS,http://t-plus-atelier.com/,7994335493,"MARTIN EVA, Holy Tuesday Shopping Mall, Kaloor, Kochi, Ernakulam, Kerala 682017",,tplusatelier@gmail.com,,2 reviews,5.0,,,,,,9.9974952,76.29490419999999,,,,,
,,,,,,,Architect in Kerala,BIGINS LIFESTYLE PRIVATE LIMITED,,,"Salem - Kochi Hwy, Nettoor, Maradu, Kochi, Ernakulam, Kerala 682304",,,,4 reviews,5.0,,,,,,9.937853299999999,76.31779569999999,,,,,
,,,,,,,"Architect in Kothamangalam, Kerala",S K Architects,http://skarchs.com/,,"686691, Bypass Rd, Thankalam, Kothamangalam, Kerala 686666",,skarchs.klm@gmail.com,,4 reviews,5.0,,,,,,10.0632925,76.61409809999999,,,,,
,,,,,,,Architect in Kerala,Sage Group Architects,http://www.sagearcindia.com/,9846236180,"2884+JMW, BTR Road, Edappally, Ernakulam, Kerala 682024",,,,3 reviews,5.0,,,,,,10.0166263,76.3067451,,,,,
,,,,,,,Architectural designer in Kerala,INCHSCALE,,,"Mulloor, near Townhall Metro Station, Ernakulam, Kerala 682018",,,,4 reviews,5.0,,,,,,9.9909036,76.28828949999999,https://www.instagram.com/inchscale/,,,,
,,,,,,,"Architect in Kochi, Kerala",ARCHITECTS,,,"29VF+9VP, Kolottimoola, Kochi, Kerala 682021",,,,2 reviews,5.0,,,,,,10.043463899999999,76.3747016,,,,,
,,,,,,,"Architect in Edanad, Kerala",ALEX Architects,https://www.facebook.com/alexarchitects.in,,"Prasannapuram Chowara P.O, Airport Road, Aluva, Kerala 683571",,,,3 reviews,5.0,,,,,,10.1363582,76.39157449999999,,,,,
,,,,,,,"Architect in Uzhavoor, Kerala",K K Associates Architecture Designers and builders in Kottayam Ernakulam Kerala,,9447370542,"KK Associates Areekara, Uzhavoor, Kerala 686634",,,,1 review,5.0,,,,,,9.7922967,76.6106721,,,,,
,,,,,,,Architect in Kerala,Neema Jose Architect & Interiors,,9895393936,"V Krishna Menon Rd, Kaloor, Ernakulam, Kerala 682017",,,,36 reviews,5.0,,,,,,9.996427899999999,76.2928632,,,,,
,,,,,,,"Architect in Manakunnam, Kerala",Architect Amjo Antony,,,"V /434 Near Infant Jesus Church Kandanad P.o Thiruvamkulam, via, Kochi, Kerala 682305",,,,5 reviews,5.0,,,,,,9.914319599999999,76.3718296,,,,,
,,,,,,,"Home builder in Kochi, Kerala",Qoobon India Private Limited,http://www.qoobon.com/,7034322220,"Qoobon tower, near cusat metro station, Kalamassery, Kochi, Kerala 682033",,mail@qoobon.com,,4 reviews,5.0,,,,,,10.0468085,76.3175232,,,,,
,,,,,,,Architecture firm in Kerala,"JP Ventures | Best Architects, Contractor and Interior Designers in Kochi",http://jpventures.in/,9633125333,"JP Ventures Level 2, Valiyakulangara Building, Hill Palace Rd, Thrippunithura, Ernakulam, Kerala 682301",,mail@jpventures.in,,180 reviews,4.9,,,,,,9.9465782,76.3523208,,https://www.facebook.com/jpventure/,https://in.linkedin.com/company/jpventureskochi,,
,,,,,,,Building designer,Judson Associates - Top Interior Designers & Building Designers in Kerala,https://judsonassociates.net/,8606159555,"14/390 H1,6th Floor, KNA Plaza Junction, Kundannoor, Maradu, Ernakulam, Kerala 682304",,,,(159),4.9,,,,,,9.937038099999999,76.31840749999999,https://www.instagram.com/judsonassociates/,https://www.facebook.com/Judsonassociatespvtltd/,https://in.linkedin.com/in/p-r-judson-39566a132,,
,,,,,,,"Architect in Aluva, Kerala",City Futures Design Collaborative,http://cityfutures.in/?utm_source=gmb&utm_medium=referral,9446874872,"Periyar Lane, Periyar Nagar, Thottakkattukara, Aluva, Kerala 683101",,,,50 reviews,4.9,,,,,,10.1150009,76.3430132,https://www.instagram.com/city.futures/,https://www.facebook.com/CityfuturesDesignCollaborative/,https://in.linkedin.com/company/city-futures-design-collaborative,,
,,,,,,,"Architect in Aluva, Kerala",Formscape Architects & Interior designs,,9567455489,"Kadungalloor Road, Thottakkattukara, Aluva, Kerala 683108",,,,36 reviews,4.9,,,,,,10.1142819,76.3358934,,,,,
,,,,,,,Interior designer in Kerala,Fogalom Designs - Interior Designer and Architect,http://www.fogalomdesigns.com/,9605422333,"39/6246, Alapattu, Alappat Cross Rd, Ravipuram, Ernakulam, Kerala 682016",,fogalom.cok@gmail.com,,64 reviews,4.9,,,,,,9.968972299999999,76.311217,https://www.instagram.com/fogalom_designs/,https://www.facebook.com/Fogalomdesigns/,https://in.linkedin.com/in/fogalom-designs-7042a913a,,
,,,,,,,Architect in Kerala,Paul & Shini Architects,http://www.paulandshiniarchitects.com/,9633961117,"G452, SBI Avenue Road, Panampilly Nagar, Kochi, Ernakulam, Kerala 682036",,info@paulandshiniarchitects.com,,38 reviews,4.9,,,,,,10.009573999999999,76.3033856,,https://www.facebook.com/paulandshini/,,,
,,,,,,,"Architecture firm in Chendamangalam, Kerala",AMAZE Architects,,9745722950,"Kizhakkumpuram Chendamangalam P. O, North Paravur, Kerala 683513",,,,36 reviews,4.9,,,,,,9.972537599999999,76.3231137,https://www.instagram.com/amazearchitects/,https://www.facebook.com/AmazeArchitects/,,,
,,,,,,,Architecture firm in Kerala,"Siju KB , Architect & Interior Consultant",https://www.facebook.com/Designweaves-536496779708145/,9447665339,"Ayyankali Rd, Poonithura, Maradu, Ernakulam, Kerala 682038",,,,12 reviews,4.9,,,,,,9.9559383,76.2984489,,,,,
,,,,,,,Architecture firm in Kerala,YH International - Experts in Architectural & Interior project management.,,,"2nd floor, Khadeeja Complex, Metro pillar no-188, Oppo, above annapoorna hotel, Kochi, Kerala 683106",,,,99 reviews,4.9,,,,,,10.0132627,76.30856059999999,,,,,
,,,,,,,Architectural designer in Kerala,Mind Create Architectural Designers,http://mindcreate.in/index.php/Mindcreate/projects,9995163596,"2 nd Floor,70/400-A5,Kochurani building, 17, LFC Rd, near Pavakulam Temple, Kaloor, Kochi, Kerala 682017",,,,100 reviews,4.9,,,,,,10.071282400000001,76.3321296,,,,,
,,,,,,,Architecture firm in Kerala,Ajith Sunny Architects,http://www.ajithsunnyarchitects.com/,9895320044,"PRRA-88 A, First Floor Mavelil Lane, Ponoth Rd, Kaloor, Kochi, Kerala 682017",,ajith@ajithsunnyarchitects.com,,21 reviews,4.9,,,,,,9.9972669,76.2911709,https://www.instagram.com/ajithsunnyarchitects/,,https://in.linkedin.com/company/ajith-sunny-architects,,
,,,,,,,"Architecture firm in Muvattupuzha, Kerala",Thaksha Architects,,4856499104,"XHMF+JMG, Kavitha Road, Thottumkalpeedika, Muvattupuzha, Kerala 686661",,,,42 reviews,4.9,,,,,,10.0002439,76.31679489999999,https://www.instagram.com/thakshaarchitects/,https://www.facebook.com/ThakshaArchitects/,,,
,,,,,,,Architectural designer in Kerala,Archroots Design Studio,,9744954943,"Kalluveettil House, near Lisie Hospital road, North Kaloor, Kacheripady, Ernakulam, Kerala 682018",,,,17 reviews,4.9,,,,,,9.9840515,76.5741157,,https://www.facebook.com/UniqueArchkochi/,,,
,,,,,,,"Architecture firm in Thodupuzha, Kerala",Design Collab,http://www.designcollab.in/,6235118800,"1st Floor, Vezhappilly Tower, Kanjiramattom Byp, Thodupuzha, Kerala 685584",,contact@designcollab.in,,89 reviews,4.9,,,,,,10.5372167,76.2123239,https://www.instagram.com/designcollab.in/,https://www.facebook.com/designcollab.in/,,,
,,,,,,,"Architect in Aluva, Kerala","WeArch Developers,",https://wearch-developers.com/,9539999885,"38HQ+G4X, Choornikkara, Kochi, Aluva, Kerala 683501",,info@wearch-developers.com,,119 reviews,4.9,,,,,,10.0788625,76.3378594,https://www.instagram.com/wearch_developers/,https://www.facebook.com/wearchdevelopers/,,,
,,,,,,,Architect in Kerala,Insite Concepts by Ar Jose Mathew,https://insiteconcepts.com/,9747211835,"19-20, Abad Rainbow Retreat Villas Thrikkathara Mahadeva, Pottayil Temple Rd, Irumpanam, Thrippunithura, Kochi, Kerala 682309",,mail@insiteconcepts.com,,22 reviews,4.9,,,,,,10.0131252,76.3572738,https://www.instagram.com/insiteconcepts/,https://www.facebook.com/insite.concepts/,,,
,,,,,,,Architect in Kerala,Heritage - The Design People- Architects & Interior Designers,https://www.instagram.com/heritage_thedesignpeople,8714829835,"3rd floor, L Trust bldg, H.A, Karimpatta Cross Rd, Pallimukku, Kochi, Ernakulam, Kerala 682016",,,,17 reviews,4.9,,,,,,9.9894821,76.3163604,,,,,
,,,,,,,Architecture firm in Kerala,Space Intimate Architectural Studio,,,"Nettayikodath Building, 33/2876 B4, NH Bye pass, Chakkaraparambu, Thammanam, Kochi, Ernakulam, Kerala 682032",,,,7 reviews,4.9,,,,,,,,,,,,
,,,,,,,Architect in Kerala,ALLPLANS architecture + design,https://www.allplans-ad.com/,9496834520,"Rajaji Rd, XLI/497, Shenoys, Kochi, Ernakulam, Kerala 682035",,allplanscochin@yahoo.com,,15 reviews,4.9,,,,,,9.9788797,76.28570069999999,,,,,
,,,,,,,Architecture firm in Kerala,GROUP OF DESIGNERS,,,"Vyttila, Kochi, Ernakulam, Kerala 682019",,,,9 reviews,4.9,,,,,,9.9703713,76.3206559,,https://www.facebook.com/GroupOfDesigners/,,,
,,,,,,,Training centre in Kerala,Architecture & Interior Designing Academy(AIDA),http://www.aidaindia.in/,9207492233,"2nd floor, Palette building, near Vytilla hub, Vyttila, Kochi, Ernakulam, Kerala 682019",,,,54 reviews,4.9,,,,,,9.969701299999999,76.32001,,https://www.facebook.com/aidaindia2016/,,,
,,,,,,,Architectural designer in Kerala,MasterPlan,https://keralahomestyle.in/,9447482396,"VP Marakar Rd, Edappally Toll, Koonamthai, Edappally, Kochi, Ernakulam, Kerala 682024",,masterplanekm@gmail.com,,9 reviews,4.9,,,,,,10.030275,76.3099663,,,,,
,,,,,,,Architect in Kerala,IN MY PLACE CONCEPTS PRIVATE LIMITED,http://inmyplace.in/,,"Kochi - Madurai - Dhanushkodi Rd, Poonithura, Maradu, Kochi, Ernakulam, Kerala 682038",,,,7 reviews,4.9,,,,,,9.9453737,76.3341289,https://www.instagram.com/in_my_place_concepts/,https://www.facebook.com/inmyplaceconcepts/,,,
,,,,,,,Architect in Kerala,"Montimers Architect and Interior Designers In Kochi, Kerala",http://montimers.in/,,"Building, 3rd Floor Mirador, Muttathil Ln, Kadavanthra, Ernakulam, Kerala 682020",,,,57 reviews,4.9,,,,,,9.9702485,76.3006674,,,,,
,,,,,,,Interior designer in Kerala,Shardes Interiors,http://www.shardes.in/,8593024446,"The Mercy Tower Building, 1st Floor, Kizhavana Rd, Panampilly Nagar, Kochi, Kerala 682036",,Info@shardes.in,,48 reviews,4.9,,,,,,9.955870299999999,76.2961734,https://www.instagram.com/shardesinteriors/,https://www.facebook.com/ShardesInteriors/,https://in.linkedin.com/company/shardesinteriors,,
,,,,,,,Architect in Kerala,Arun Thomas Architects,http://www.arunthomasarchitects.com/,9895708164,"Third Floor, G - Square, Mahakavi Vailoppilli Rd, Palarivattom, Kochi, Ernakulam, Kerala 682025",,,,64 reviews,4.8,,,,,,9.9987178,76.30766969999999,,,,,
,,,,,,,Architecture firm in Kerala,Classik Architects,https://www.classikarchitects.com/,4812562277,"Medical Centre Rd, Chakkalakkal, Vennala, Ernakulam, Kerala 682028",,,,61 reviews,4.8,,,,,,9.9997593,76.3182301,,,,,
,,,,,,,Architect in Kerala,Srishti Architects and Green Building Consultants,https://www.facebook.com/Srishti-Architects-GBC-103988851506085/,9746946970,"3rd floor, Vijayan residence, 1318 - H , 3rd Floor Nellekattu building , N, BHS Rd, above Chaitanya eye hospital, Thrippunithura, Ernakulam, Kerala 682301",,,,35 reviews,4.8,,,,,,9.9425745,76.3481142,,,,,
,,,,,,,Architect in Kerala,Martin Thomas Architects,https://www.mtafirm.com/,4844039380,"kanakkanatt, Valavi Rd, Kacheripady, Kochi, Kerala 682018",,mtafirm@gmail.com,,56 reviews,4.8,,,,,,9.9893714,76.281314,https://www.instagram.com/mta_firm/,https://www.facebook.com/martinthomasassociates/,,,
,,,,,,,Architect in Kerala,McTerra Architects and Designers,https://m.facebook.com/mcterraarchitectsanddesigners/,7356995456,"Ground Floor, Plot no : 32, Mavelipuram East, Kakkanad, Kochi, Kerala 682030",,,,57 reviews,4.8,,,,,,9.9685554,76.30004749999999,https://www.instagram.com/mcterraarchitects/,https://www.facebook.com/mcterraarchitectsanddesigners/,,,
,,,,,,,Architecture firm in Kerala,"Associate Designers - Best Architects and Interior Designers in Kochi, Kerala",,6262939393,"II Floor, Flair Business Floors Seaport Airport Road, Kakkanad, Kochi, Kerala 682030",,,,24 reviews,4.8,,,,,,10.1740857,76.2328145,,https://www.facebook.com/TheAssociateDesigners/,,,
,,,,,,,"Architecture firm in Kochi, Kerala",Raamz Interiors & Architecture,http://www.raamz.in/,9349698939,"Dreams, 46/1392, 1B, Sabashaa, Chakkarapparambu Rd, Vennala, Kochi, Kerala 682028",,,,58 reviews,4.8,,,,,,9.9421748,76.33520279999999,https://www.instagram.com/raamz.interiors.architecture/,https://www.facebook.com/raamz.interiors.architecture/,https://in.linkedin.com/company/raamz-interiors-architecture,,
,,,,,,,Architecture firm in Kerala,Make.Inc,http://makeinc.in/,4842808940,"2nd Floor, #41/2371-B4, Medical Centre Road, NH 17, By-Pass, Palarivattom, Kochi, Kerala 682028",,,,50 reviews,4.8,,,,,,9.9955845,76.2973209,https://www.instagram.com/makeinc.in/,,https://in.linkedin.com/in/geenu-jemma-gince-260022139,,
,,,,,,,Architect in Kerala,Lalichan Zacharias Atelier,,9846060300,"Jayanagar Road, off NH- By - Pass, Kannadikadu, Maradu, Kochi, Ernakulam, Kerala 682304",,,,49 reviews,4.8,,,,,,9.9724956,76.30149089999999,,https://www.facebook.com/lalichan.zacharias.1/,,,
,,,,,,,"Architect in Chelari, Kerala",Building Designers,http://www.buildingdesigners.in/,9895018990,"AM Tower opposite IOC ,chelari, malappuram, Kerala 673636",,info@buildingdesigners.in,,693 reviews,4.8,,,,,,11.110146,75.890535,https://www.instagram.com/engineer_kvmuraleedharan/,https://www.facebook.com/buildingdesigners1985/,,,
,,,,,,,"Architect in Thiruvananthapuram, Kerala",Srijit Srinivas Architects,http://www.srijitsrinivas.com/,,"1, Belhaven Road, Kanaka Nagar, Kowdiar, Thiruvananthapuram, Kerala 695003",,info@srijitsrinivas.com,,32 reviews,4.8,,,,,,8.5166009,76.960359,https://www.instagram.com/srijitsrinivasarchitects/,https://www.facebook.com/srijitsrinivasarchitects/,,,
,,,,,,,"Interior designer in Kochi, Kerala",G-ARCH Associate Building Designers & Contractors,,9400368201,"46/2373/c1, Chakkaraparambu Road, Kottankavu, Junction,Vennala P.O, Kerala 682028",,,,37 reviews,4.8,,,,,,9.9918883,76.321653,,,,,
,,,,,,,Architect in Kerala,SONY JOSEPH Architects,,9447214682,"BRRA 46, 5th Avenue, Bank Rd, Kaloor, Ernakulam, Kerala 682017",,,,13 reviews,4.8,,,,,,9.995370699999999,76.29637389999999,,,,,
,,,,,,,Architecture firm in Kerala,Cochin Creative Collective,http://www.cochincreativecollective.com/,9567117452,"MIG 406, 9th, Cross Rd 3, MIG Housing Society, Panampilly Nagar, Ernakulam, Kerala 682036",,cochincreativecollective@gmail.com,,24 reviews,4.8,,,,,,9.961192299999999,76.29720139999999,https://www.instagram.com/cochincreativecollective/,https://www.facebook.com/cochincreativecollective/,https://in.linkedin.com/company/cochin-creative-collective,,
,,,,,,,Architecture firm in Kerala,Yukthi Architecture | Interiors,http://yukthiarchitects.com/,,"Ivy Villa, B 67, N Girinagar Rd, MIG and HIG Colony, Gandhi Nagar, Kadavanthra, Ernakulam, Kerala 682020",,,,13 reviews,4.8,,,,,,9.973360099999999,76.29469770000001,,,,,
,,,,,,,Architect in Kerala,Shiraz Architects,,,"Mina Complex, Manappatti Parambu Rd, Ernakulam North, Kaloor, Kochi, Kerala 682017",,,,25 reviews,4.8,,,,,,9.995307799999999,76.2879794,,,,,
,,,,,,,Architect in Kerala,S Squared Architects Pvt.Ltd.,http://ssquaredarchitects.com/,9447047467,"126, N Janatha Rd, Palarivattom, Kochi, Ernakulam, Kerala 682025",,info@ssquaredarchitects.com,,9 reviews,4.8,,,,,,9.982531,76.350203,,,,,
,,,,,,,Building consultant in Kerala,DEFZEN PROJECTS PVT LTD - Architects and Interior designers in Kochi,https://www.defzen.in/,9995713777,"NKM Arcade, Thaikavu Junction, Arakkakadavu, Vennala, Kochi, Kakkanad, Kerala 682028",,,,34 reviews,4.8,,,,,,9.970068,76.30533400000002,https://www.instagram.com/defzenprojects/,,https://in.linkedin.com/company/defzen-projects-pvt-ltd,,
,,,,,,,Architectural designer in Kerala,Monsoon Projects,,7902718860,"3rd street, MIG 401, 11th Cross Rd, MIG Housing Society, Panampilly Nagar, Kochi, Ernakulam, Kerala 682036",,,,19 reviews,4.8,,,,,,10.4454082,76.2583136,https://www.instagram.com/monsoon_projects/,https://www.facebook.com/studiomonkey369/,https://www.linkedin.com/company/monsoon-projects,,
,,,,,,,Architect in Kerala,Nice Fab,http://nicefab.net/index.php/portfolio-category/interior-design/,9605668688,"29/619B,1 st Floor, Raj Nivas, behind Union Bank, Vyttila, Kochi, Kerala 682019",,,,6 reviews,4.8,,,,,,9.9645499,76.29547199999999,,,,,
,,,,,,,"Architecture firm in Kochi, Kerala",coffeewitharchitect,https://www.instagram.com/p/Cy4AG_1SEi3/,9495572753,"perumpilly Vypin - munumbam, road, Kochi, Kerala 682505",,,,6 reviews,4.8,,,,,,10.0369954,76.22019259999999,,,,,
,,,,,,,Architecture firm in Kerala,Alankriti Design,,,"33/2008A, SaRWA 71, EMC Rd, Vennala, Kochi, Ernakulam, Kerala 682028",,,,4 reviews,4.8,,,,,,10.0003631,76.3160899,,,,,
,,,,,,,Interior designer in Kerala,Arena Interiors Pvt Ltd,,9048347347,"Arena Interiors, 41/2139, 2nd Floor, Riddhi Tower NH Bypass ,Near palarivattom over bridge, Vennala, Kochi, Kerala 682028",,,,206 reviews,4.7,,,,,,10.001195000000001,76.313904,,,https://www.linkedin.com/company/arena-interiors,,
,,,,,,,Architecture firm in Kerala,Creo Homes,http://www.creohomes.in/,9645899951,"Kizhavana Rd, Panampilly Nagar, Kochi, Ernakulam, Kerala 682036",,info@creohomes.in,,237 reviews,4.7,,,,,,9.9560259,76.2957508,https://www.instagram.com/creoarchitects/,,https://in.linkedin.com/company/creo-homes-pvt-ltd,,
,,,,,,,Architect in Kerala,Silpi Architects,https://www.silpiarchitects.com/,4842663448,"26, 2409b, Thevara Ferry Road, Thevara, Ernakulam, Kerala 682013",,mail@silpiarchitects.com,,182 reviews,4.7,,,,,,9.9264124,76.3039877,,https://www.facebook.com/Silpi.ar/,https://in.linkedin.com/company/silpi-architects,,
,,,,,,,Architecture firm in Kerala,Archimatrix,https://www.thearchimatrix.com/,,"1/415, Sahodaran Ayyappan Rd, Vyttila, Kochi, Ernakulam, Kerala 682019",,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,62 reviews,4.7,,,,,,9.9773152,76.33422589999999,,,https://in.linkedin.com/company/archimatrix-india-design-consultants-private-limited,,
,,,,,,,Architect,S2 Architects Thrissur Kerala,https://www.s2architects.in/,9349930609,"Mahalakshmi, Kodungallur - Shornur Rd, near CMI Church, Patturaikkal, Thrissur, Kerala 680022",,,,73 reviews,4.7,,,,,,9.977588299999999,76.29625570000002,,,,,
,,,,,,,Architecture firm in Kerala,Vault & Walls,http://vaultandwalls.com/,9388112239,"2nd floor, Alanickal House, Lane, 6, Ambelipadam Road, Janatha, Vyttila, Kochi, Kerala 682019",,projects@vaultandwalls.com,,30 reviews,4.7,,,,,,9.8964235,76.71670809999999,https://www.instagram.com/vault_and_walls/,https://www.facebook.com/vaultandwalls/,,,
,,,,,,,Architect in Kerala,Living Stone Architects & Designers,https://livingstonearchitects.com/,4844012897,"90A, Giri Nagar Canal Rd, Giringar Housing Colony, Giri Nagar Housing Society, Giri Nagar, Kadavanthra, Kochi, Ernakulam, Kerala 682020",,livingstonearchitects@gmail.com,,26 reviews,4.7,,,,,,9.9700948,76.310181,,https://www.facebook.com/livingstonearchitectskochi/,https://in.linkedin.com/company/livingstone-architects-designers,,
,,,,,,,Architect in Kerala,Aavishkar architects,https://aavishkararchitects.com/,8129043076,"Giri Nagar, Kadavanthra, Kochi, Ernakulam, Kerala 682020",,aavishkar.arch@gmail.com,,26 reviews,4.7,,,,,,9.9987444,76.2909952,https://www.instagram.com/aavishkar_architects/,https://www.facebook.com/AavishkarArchitects/,https://in.linkedin.com/company/aavishkar-architects,,
,,,,,,,"Architectural designer in Kottayam, Kerala","Suvarnarekha Design Consultants - Best interior designers & Architects in Kottayam , Kerala",https://www.suvarnarekhadesign.com/,4812571538,"Trio-Chambers, Kanjikuzhi, Kottayam, Kerala 686004",,,,63 reviews,4.7,,,,,,9.5875382,76.5414266,,https://www.facebook.com/suvarnarekhadesign/,,,
,,,,,,,Architecture firm in Kerala,Studio Vista Architects,http://www.studiovistaar.com/,9747549298,"1st, Sabari Giri, near Sylcon Supermarket, Jawahar Lane, near N.S.S. Karayogam, Kadavanthra, Kochi, Kerala 682020",,info@studiovistaar.com,,23 reviews,4.7,,,,,,9.9583748,76.3017685,https://www.instagram.com/studiovista.ar/,https://www.facebook.com/studiovista.ar/,https://in.linkedin.com/company/studio-vista-architects,,
,,,,,,,Architect in Kerala,Monsoon Collective,http://www.monsooncollective.com/,4844857622,"First Floor, Malhar KPNRA, 53A, VP Marakar Rd, K.P.Nagar, Koonamthai, Edappally, Ernakulam, Kerala 682024",,connect@monsooncollective.com,,83 reviews,4.7,,,,,,10.035734099999999,76.30866859999999,,https://www.facebook.com/monsooncollectivedesign/,,,
,,,,,,,Architectural designer in Kerala,Illusions Architects & Interiors,http://illusionsmanoj.com/,,"#67, 5th Cross Road, Giringar Housing Colony, Giri Nagar Housing Society, Giri Nagar, Kadavanthra, Ernakulam, Kerala 682020",,manoj.illusions@yahoo.in,,18 reviews,4.7,,,,,,9.9644801,76.2987912,,,,,
,,,,,,,Architect in Kerala,Aescon Builders and Architects,,9656265000,"Mamangalam, Elamakkara, Ernakulam, Kerala 682024",,,,21 reviews,4.7,,,,,,10.0172668,76.30411939999999,,,,,
,,,,,,,Architect in Kerala,Idea Design,http://www.ideadesign.org/,9645226526,"30/1596-D, Narayanan Assan Road, Ponnurunni, Vyttila, Ernakulam, Kerala 682019",,,,27 reviews,4.7,,,,,,9.9759858,76.31821719999999,,,,,
,,,,,,,,NOAHS AR'CH' Architects & Interior Designers,http://fb.me/noahsarchitects,9447154264,,,,,7 reviews,4.7,,,,,,9.997258,76.3146838,,,,,
,,,,,,,"Architecture firm in Palakkad, Kerala",Monnaie Architects & Interiors in Palakkad,https://www.monnaie.in/,9625080808,"FIRST FLOOR, DEEPAM FOUNDATION, Manapullikavu, Palakkad, Kerala 678013",,enquiry@monnaie.in,,205 reviews,4.7,,,,,,9.993433399999999,76.3209072,,,https://in.linkedin.com/company/monnaie-architects-and-interiors,,
,,,,,,,"Architect in Kochi, Kerala",Anudeep And Associates Architects,,4842235997,"Door No.20, 62 A, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006",,,,6 reviews,4.7,,,,,,9.9166879,76.2744768,,,,,
,,,,,,,Home builder in Kerala,Estilo architect and interiors,,7034459505,"Polakulam Rd, Thrippunithura, Ernakulam, Kerala 682301",,,,34 reviews,4.7,,,,,,9.9468673,76.3466851,,https://www.facebook.com/EstiloArchitectsandinteriors/,,,
,,,,,,,Interior designer in Kerala,Anthill,https://anthillworld.com/,7511103322,"Kallungal Complex, Road, Edayapuram, Aluva, Kerala 683101",,,,76 reviews,4.7,,,,,,10.1086242,76.37172149999999,,https://www.facebook.com/anthillworld/,,,
,,,,,,,Architect in Kerala,"Building Designs , Kochi",,4842203428,"Sreepurna' 2nd Floor, Temple Road, Elamkulam, Kochi, Kerala 682020",,,,25 reviews,4.7,,,,,,9.9707061,76.29966189999999,,,,,
,,,,,,,Architect in Kerala,Habitat Technology Group,http://www.habitattechnologygroup.org/,4842366968,"Warriam Rd, opposite Chinmaya Vidyalaya Vidyalaya, Pallimukku, Ernakulam, Kerala 682016",,habitat.technology@gmail.com,,95 reviews,4.7,,,,,,9.9663658,76.2852985,,,,,
,,,,,,,Architect in Kerala,Rohini Prasad & Associates,,,"JKS 289, Perumbotta Rd, Vayanashalla, Elamakkara, Ernakulam, Kerala 682026",,,,29 reviews,4.7,,,,,,9.998529800000002,76.3075118,,https://www.facebook.com/rohiniprasadassociates/,,,
,,,,,,,Architect in Kerala,DZignHouse Architects,http://www.dzignhousearchitects.com/,8089721912,"1st Floor, Infra Futura, Seaport - Airport Rd, Thrikkakara, Kakkanad, Kochi, Kakkanad, Kerala 682021",,info@dzignhousearchitects.com,,7 reviews,4.7,,,,,,9.9666816,76.3180414,,https://www.facebook.com/DZignHouseArchitects/,,,
,,,,,,,"Architect in Muvattupuzha, Kerala",Skyarc Architects & Developers,,,"Palathinkal Building, Municipal Stadium Road, Muvattupuzha, Kerala 686673",,,,24 reviews,4.7,,,,,,9.9929563,76.58299269999999,,,,,
,,,,,,,Civil engineering company in Kerala,ALTERNATIVE BUILDING CONCEPTS- ARCHITECTS/BUILDERS/CONTRACTORS,,9037206968,"Elayadath, Kaloor Kadavanthara Road 38/2425, near Flowers Dance Academy, Kaloor, PO, Kerala 682017",,,,42 reviews,4.7,,,,,,9.976137399999999,76.297176,,,,,
,,,,,,,Architect in Kerala,"Design Concert - Architects in Kochi, Landscape Designers Kochi, Interior Designer in kochi, Kerala",,9847402269,"City Garden Centre Kunnumpuram - Civil Station Road Kunnumpuram, Kakkanad, Kochi Ph: 9847402269, Kochi, Kerala 682030",,,,9 reviews,4.7,,,,,,10.0164052,76.33797299999999,,,,,
,,,,,,,Architect in Kerala,Jibu & Thomas Architects,http://www.jibuandthomas.com/,4844064260,"G-173, 5th Cross Road, KV Nagar, Panampilly Nagar, Kochi, Ernakulam, Kerala 682036",,info@jibuandthomas.com,,165 reviews,4.6,,,,,,9.9624206,76.29681990000002,https://www.instagram.com/jibu.and.thomas.architects/,,https://in.linkedin.com/company/jibu-and-thomas-architects,,
,,,,,,,Architect in Kerala,Roy Antony Architects,https://www.royantonyarchitects.com/,4842352030,"40/1404, TD Rd, Marine Drive, Kochi, Ernakulam, Kerala 682011",,admin@royantonyarchitects.com,,53 reviews,4.6,,,,,,9.9749442,76.2817948,https://www.instagram.com/royantonyarchitects/,,,,
,,,,,,,Architect in Kerala,Mathew and Saira Architects,http://www.mathewandsaira.com/,4842373934,"39 4186A, off Mahatma Gandhi Road, Ravipuram, Perumanoor, Kochi, Ernakulam, Kerala 682016",,,,76 reviews,4.6,,,,,,9.9599089,76.2881475,,,https://in.linkedin.com/in/mathew-joseph-puthusseril-a07a4276,,
